"Message","ID","Signal","Comment","Error Type"
"ENG_13C","0x13c","ENG_RECEIVE_ERROR_1AA","","Receive Error"
"ENG_130","0x130","ENG_RECEIVE_ERROR_1AC","","Receive Error"
"VSA_091","0x91","VSA_T_ERR_YAW1","","Temporary Error"
"VSA_091","0x91","VSA_T_ERR_DEGC","","Temporary Error"
"VSA_091","0x91","VSA_T_ERR_LAT_G","","Temporary Error"
"VSA_091","0x91","VSA_T_ERR_LON_G","","Temporary Error"
"VSA_091","0x91","VSA_P_ERR_YAW1","","Permanent Error"
"VSA_091","0x91","VSA_P_ERR_DEGC","","Permanent Error"
"VSA_091","0x91","VSA_P_ERR_LAT_G","","Permanent Error"
"VSA_091","0x91","VSA_P_ERR_LON_G","","Permanent Error"
"VSA_091","0x91","VSA_SENSOR_ERR_MC","","Main Error"
